"RK","GOLDER","CNTRY","WINS","TOP_10_FINISHES","TOP_25_FINISHES","POINTS","PROFILE"
"1","Dustin Johnson","USA","3","6","8","2,270","http://www.cbssports.com/golf/players/playerpage/1232149/dustin-johnson"
"2","Hideki Matsuyama","JPN","2","5","8","2,145","http://www.cbssports.com/golf/players/playerpage/1793873/hideki-matsuyama"
"3","Justin Thomas","USA","3","8","10","2,060","http://www.cbssports.com/golf/players/playerpage/1699702/justin-thomas"
"4","Jordan Spieth","USA","2","7","11","1,979","http://www.cbssports.com/golf/players/playerpage/1750636/jordan-spieth"
"5","Jon Rahm","ESP","1","7","10","1,708","http://www.cbssports.com/golf/players/playerpage/2241778/jon-rahm"
"6","Rickie Fowler","USA","1","7","10","1,592","http://www.cbssports.com/golf/players/playerpage/1619354/rickie-fowler"
"7","Brooks Koepka","USA","1","5","7","1,534","http://www.cbssports.com/golf/players/playerpage/1988936/brooks-koepka"
"8","Kevin Kisner","USA","1","6","10","1,458","http://www.cbssports.com/golf/players/playerpage/1196424/kevin-kisner"
"9","Daniel Berger","USA","1","5","7","1,450","http://www.cbssports.com/golf/players/playerpage/2067161/daniel-berger"
"10","Pat Perez","USA","1","5","11","1,426","http://www.cbssports.com/golf/players/playerpage/285342/pat-perez"
"11","Brian Harman","USA","1","6","11","1,420","http://www.cbssports.com/golf/players/playerpage/485591/brian-harman"
"12","Adam Hadwin","CAN","1","4","7","1,246","http://www.cbssports.com/golf/players/playerpage/1839646/adam-hadwin"
"13","Brendan Steele","USA","1","4","9","1,186","http://www.cbssports.com/golf/players/playerpage/1113562/brendan-steele"
"14","Kyle Stanley","USA","1","5","9","1,183","http://www.cbssports.com/golf/players/playerpage/1207765/kyle-stanley"
"15","Marc Leishman","AUS","1","4","11","1,156","http://www.cbssports.com/golf/players/playerpage/468276/marc-leishman"
"16","Billy Horschel","USA","1","4","6","1,051","http://www.cbssports.com/golf/players/playerpage/1111909/billy-horschel"
"17","Sergio Garcia","ESP","1","2","8","1,049","http://www.cbssports.com/golf/players/playerpage/238069/sergio-garcia"
"18","Charles Howell III","USA","0","5","9","1,047","http://www.cbssports.com/golf/players/playerpage/285321/charles-howell-iii"
"19","Russell Henley","USA","1","3","8","999","http://www.cbssports.com/golf/players/playerpage/1746758/russell-henley"
"20","Jason Dufner","USA","1","2","10","998","http://www.cbssports.com/golf/players/playerpage/460241/jason-dufner"
"21","Justin Rose","ENG","0","4","6","984","http://www.cbssports.com/golf/players/playerpage/399341/justin-rose"
"22","Charley Hoffman","USA","0","5","10","924","http://www.cbssports.com/golf/players/playerpage/238121/charley-hoffman"
"23","Mackenzie Hughes","CAN","1","2","7","913","http://www.cbssports.com/golf/players/playerpage/1998149/mackenzie-hughes"
"24","Paul Casey","ENG","0","5","11","904","http://www.cbssports.com/golf/players/playerpage/399360/paul-casey"
"25","Bill Haas","USA","0","3","11","900","http://www.cbssports.com/golf/players/playerpage/464970/bill-haas"
"26","Wesley Bryan","USA","1","4","4","870","http://www.cbssports.com/golf/players/playerpage/2234683/wesley-bryan"
"27","Gary Woodland","USA","0","4","5","862","http://www.cbssports.com/golf/players/playerpage/1279672/gary-woodland"
"28","Kevin Chappell","USA","1","3","4","851","http://www.cbssports.com/golf/players/playerpage/1626409/kevin-chappell"
"29","Si Woo Kim","KOR","1","2","4","832","http://www.cbssports.com/golf/players/playerpage/2041460/si-woo-kim"
"30","Hudson Swafford","USA","1","3","4","823","http://www.cbssports.com/golf/players/playerpage/1228124/hudson-swafford"
"31","Tony Finau","USA","0","4","8","795","http://www.cbssports.com/golf/players/playerpage/1128992/tony-finau"
"32","Matt Kuchar","USA","0","4","11","781","http://www.cbssports.com/golf/players/playerpage/285325/matt-kuchar"
"33","Webb Simpson","USA","0","3","7","775","http://www.cbssports.com/golf/players/playerpage/1098591/webb-simpson"
"34","Sung Kang","KOR","0","3","8","775","http://www.cbssports.com/golf/players/playerpage/520991/sung-kang"
"35","Cameron Smith","AUS","1","3","4","762","http://www.cbssports.com/golf/players/playerpage/2075023/cameron-smith"
"36","Francesco Molinari","ITA","0","4","11","741","http://www.cbssports.com/golf/players/playerpage/1195203/francesco-molinari"
"37","Louis Oosthuizen","SAF","0","2","7","718","http://www.cbssports.com/golf/players/playerpage/471382/louis-oosthuizen"
"38","Keegan Bradley","USA","0","5","9","702","http://www.cbssports.com/golf/players/playerpage/1674027/keegan-bradley"
"39","Luke List","USA","0","3","8","694","http://www.cbssports.com/golf/players/playerpage/399343/luke-list"
"40","Phil Mickelson","USA","0","4","10","678","http://www.cbssports.com/golf/players/playerpage/132075/phil-mickelson"
"41","Martin Laird","SCO","0","5","7","676","http://www.cbssports.com/golf/players/playerpage/518224/martin-laird"
"42","Charl Schwartzel","SAF","0","3","4","674","http://www.cbssports.com/golf/players/playerpage/1194890/charl-schwartzel"
"43","Brandt Snedeker","USA","0","4","8","663","http://www.cbssports.com/golf/players/playerpage/490805/brandt-snedeker"
"44","Anirban Lahiri","IND","0","2","6","639","http://www.cbssports.com/golf/players/playerpage/1697795/anirban-lahiri"
"45","Lucas Glover","USA","0","4","6","635","http://www.cbssports.com/golf/players/playerpage/460254/lucas-glover"
"46","Rod Pampling","AUS","1","1","2","627","http://www.cbssports.com/golf/players/playerpage/285340/rod-pampling"
"47","Sean O'Hair","USA","0","4","6","613","http://www.cbssports.com/golf/players/playerpage/471182/sean-ohair"
"48","Danny Lee","NZL","0","3","8","608","http://www.cbssports.com/golf/players/playerpage/1196122/danny-lee"
"49","Jason Day","AUS","0","2","6","607","http://www.cbssports.com/golf/players/playerpage/533501/jason-day"
"50","Patrick Reed","USA","0","2","10","606","http://www.cbssports.com/golf/players/playerpage/1757897/patrick-reed"
"51","Bud Cauley","USA","0","5","6","579","http://www.cbssports.com/golf/players/playerpage/1744734/bud-cauley"
"52","Jonas Blixt","SWE","1","1","4","578","http://www.cbssports.com/golf/players/playerpage/502962/jonas-blixt"
"53","Stewart Cink","USA","0","3","9","574","http://www.cbssports.com/golf/players/playerpage/131982/stewart-cink"
"54","Scott Brown","USA","0","2","4","563","http://www.cbssports.com/golf/players/playerpage/1196758/scott-brown"
"55","Ollie Schniederjans","USA","0","4","6","561","http://www.cbssports.com/golf/players/playerpage/2156105/ollie-schniederjans"
"56","Kelly Kraft","USA","0","2","4","558","http://www.cbssports.com/golf/players/playerpage/1958415/kelly-kraft"
"57","Chez Reavie","USA","0","3","7","556","http://www.cbssports.com/golf/players/playerpage/399358/chez-reavie"
"58","Ryan Moore","USA","0","2","7","549","http://www.cbssports.com/golf/players/playerpage/470350/ryan-moore"
"59","Patrick Cantlay","USA","0","2","4","549","http://www.cbssports.com/golf/players/playerpage/1839645/patrick-cantlay"
"60","James Hahn","USA","0","3","5","546","http://www.cbssports.com/golf/players/playerpage/1733532/james-hahn"
"61","Kevin Tway","USA","0","3","5","544","http://www.cbssports.com/golf/players/playerpage/1619348/kevin-tway"
"62","Russell Knox","SCO","0","3","6","543","http://www.cbssports.com/golf/players/playerpage/1672528/russell-knox"
"63","Jamie Lovemark","USA","0","3","6","536","http://www.cbssports.com/golf/players/playerpage/1112285/jamie-lovemark"
"64","Adam Scott","AUS","0","4","7","534","http://www.cbssports.com/golf/players/playerpage/399342/adam-scott"
"65","Scott Piercy","USA","0","4","6","532","http://www.cbssports.com/golf/players/playerpage/472008/scott-piercy"
"66","Rory McIlroy","NIR","0","4","5","526","http://www.cbssports.com/golf/players/playerpage/554014/rory-mcilroy"
"67","Jim Herman","USA","0","2","6","521","http://www.cbssports.com/golf/players/playerpage/1505984/jim-herman"
"68","Emiliano Grillo","ARG","0","2","6","511","http://www.cbssports.com/golf/players/playerpage/1804015/emiliano-grillo"
"69","Cody Gribble","USA","1","2","4","509","http://www.cbssports.com/golf/players/playerpage/2064622/cody-gribble"
"70","Whee Kim","KOR","0","2","5","505","http://www.cbssports.com/golf/players/playerpage/1968714/whee-kim"
"71","Kevin Streelman","USA","0","2","8","503","http://www.cbssports.com/golf/players/playerpage/474965/kevin-streelman"
"72","Graham DeLaet","CAN","0","5","8","497","http://www.cbssports.com/golf/players/playerpage/462329/graham-delaet"
"73","William McGirt","USA","0","3","6","496","http://www.cbssports.com/golf/players/playerpage/1260543/william-mcgirt"
"74","Morgan Hoffmann","USA","0","1","4","489","http://www.cbssports.com/golf/players/playerpage/1696961/morgan-hoffmann"
"75","Rafa Cabrera Bello","ESP","0","3","6","477","http://www.cbssports.com/golf/players/playerpage/1195404/rafa-cabrera-bello"
"76","Jhonattan Vegas","VEN","0","2","5","473","http://www.cbssports.com/golf/players/playerpage/476223/jhonattan-vegas"
"77","Ian Poulter","ENG","0","1","3","470","http://www.cbssports.com/golf/players/playerpage/401338/ian-poulter"
"78","C.T. Pan","TWN","0","3","3","466","http://www.cbssports.com/golf/players/playerpage/1219711/ct-pan"
"79","Kevin Na","USA","0","3","5","459","http://www.cbssports.com/golf/players/playerpage/460229/kevin-na"
"80","Nick Taylor","CAN","0","3","7","456","http://www.cbssports.com/golf/players/playerpage/475425/nick-taylor"
"81","Michael Kim","USA","0","1","6","452","http://www.cbssports.com/golf/players/playerpage/2064617/michael-kim"
"82","Byeong Hun An","KOR","0","3","4","436","http://www.cbssports.com/golf/players/playerpage/1681601/byeong-hun-an"
"83","Chad Campbell","USA","0","2","5","434","http://www.cbssports.com/golf/players/playerpage/149523/chad-campbell"
"84","Chris Kirk","USA","0","3","5","434","http://www.cbssports.com/golf/players/playerpage/1232152/chris-kirk"
"85","D.A. Points","USA","1","1","3","425","http://www.cbssports.com/golf/players/playerpage/238154/da-points"
"86","Jason Kokrak","USA","0","1","5","424","http://www.cbssports.com/golf/players/playerpage/1226012/jason-kokrak"
"87","Luke Donald","ENG","0","1","3","424","http://www.cbssports.com/golf/players/playerpage/291587/luke-donald"
"88","J.J. Spaun","USA","0","3","5","423","http://www.cbssports.com/golf/players/playerpage/2219940/jj-spaun"
"89","Patton Kizzire","USA","0","2","2","413","http://www.cbssports.com/golf/players/playerpage/1639297/patton-kizzire"
"90","Henrik Stenson","SWE","0","2","3","399","http://www.cbssports.com/golf/players/playerpage/474782/henrik-stenson"
"91","David Lingmerth","SWE","0","1","6","397","http://www.cbssports.com/golf/players/playerpage/1758026/david-lingmerth"
"92","Branden Grace","SAF","0","1","5","386","http://www.cbssports.com/golf/players/playerpage/1196259/branden-grace"
"93","Seung-yul Noh","KOR","0","3","5","384","http://www.cbssports.com/golf/players/playerpage/1108939/seung-yul-noh"
"94","Xander Schauffele","USA","0","2","5","378","http://www.cbssports.com/golf/players/playerpage/2237304/xander-schauffele"
"95","J.B. Holmes","USA","0","1","5","377","http://www.cbssports.com/golf/players/playerpage/594119/jb-holmes"
"96","Dominic Bozzelli","USA","0","3","3","368","http://www.cbssports.com/golf/players/playerpage/2066221/dominic-bozzelli"
"97","Zach Johnson","USA","0","2","4","363","http://www.cbssports.com/golf/players/playerpage/460187/zach-johnson"
"98","Camilo Villegas","COL","0","2","4","363","http://www.cbssports.com/golf/players/playerpage/497581/camilo-villegas"
"99","Harris English","USA","0","2","4","361","http://www.cbssports.com/golf/players/playerpage/1746754/harris-english"
"100","John Huh","USA","0","2","3","357","http://www.cbssports.com/golf/players/playerpage/1782711/john-huh"
"101","Jimmy Walker","USA","0","1","6","355","http://www.cbssports.com/golf/players/playerpage/476405/jimmy-walker"
"102","Derek Fathauer","USA","0","1","4","340","http://www.cbssports.com/golf/players/playerpage/1336129/derek-fathauer"
"103","Nick Watney","USA","0","1","5","340","http://www.cbssports.com/golf/players/playerpage/476578/nick-watney"
"104","Patrick Rodgers","USA","0","2","5","336","http://www.cbssports.com/golf/players/playerpage/1989776/patrick-rodgers"
"105","Geoff Ogilvy","AUS","0","1","5","335","http://www.cbssports.com/golf/players/playerpage/238088/geoff-ogilvy"
"106","Graeme McDowell","NIR","0","0","4","331","http://www.cbssports.com/golf/players/playerpage/469607/graeme-mcdowell"
"107","Billy Hurley III","USA","0","1","4","330","http://www.cbssports.com/golf/players/playerpage/1098581/billy-hurley-iii"
"108","Zac Blair","USA","0","1","2","330","http://www.cbssports.com/golf/players/playerpage/2069396/zac-blair"
"109","Brian Gay","USA","0","2","3","325","http://www.cbssports.com/golf/players/playerpage/149707/brian-gay"
"110","Blayne Barber","USA","0","1","2","313","http://www.cbssports.com/golf/players/playerpage/1848126/blayne-barber"
"111","J.T. Poston","USA","0","1","4","308","http://www.cbssports.com/golf/players/playerpage/2237326/jt-poston"
"112","Vaughn Taylor","USA","0","0","6","304","http://www.cbssports.com/golf/players/playerpage/460172/vaughn-taylor"
"113","Grayson Murray","USA","0","1","4","296","http://www.cbssports.com/golf/players/playerpage/1995576/grayson-murray"
"114","Ryan Palmer","USA","0","2","3","293","http://www.cbssports.com/golf/players/playerpage/460170/ryan-palmer"
"115","Bubba Watson","USA","0","3","4","293","http://www.cbssports.com/golf/players/playerpage/460245/bubba-watson"
"116","Steve Stricker","USA","0","1","5","292","http://www.cbssports.com/golf/players/playerpage/132119/steve-stricker"
"117","Tyrone Van Aswegen","SAF","0","1","3","292","http://www.cbssports.com/golf/players/playerpage/1195226/tyrone-van-aswegen"
"118","Aaron Baddeley","AUS","0","2","4","290","http://www.cbssports.com/golf/players/playerpage/449747/aaron-baddeley"
"119","Ryan Blaum","USA","0","0","4","286","http://www.cbssports.com/golf/players/playerpage/519562/ryan-blaum"
"120","Brian Stuard","USA","0","0","4","285","http://www.cbssports.com/golf/players/playerpage/1616893/brian-stuard"
"121","Johnson Wagner","USA","0","2","3","279","http://www.cbssports.com/golf/players/playerpage/460277/johnson-wagner"
"122","Michael Thompson","USA","0","1","6","278","http://www.cbssports.com/golf/players/playerpage/475589/michael-thompson"
"123","Trey Mullinax","USA","0","1","4","274","http://www.cbssports.com/golf/players/playerpage/2156026/trey-mullinax"
"124","Cameron Tringale","USA","0","2","2","271","http://www.cbssports.com/golf/players/playerpage/1681033/cameron-tringale"
"125","David Hearn","CAN","0","2","5","271","http://www.cbssports.com/golf/players/playerpage/465517/david-hearn"
"126","Shane Lowry","IRE","0","0","5","267","http://www.cbssports.com/golf/players/playerpage/1675821/shane-lowry"
"127","Ben Martin","USA","0","1","3","264","http://www.cbssports.com/golf/players/playerpage/1681036/ben-martin"
"128","Bryson DeChambeau","USA","0","1","2","256","http://www.cbssports.com/golf/players/playerpage/2176411/bryson-dechambeau"
"129","Daniel Summerhays","USA","0","1","3","254","http://www.cbssports.com/golf/players/playerpage/475094/daniel-summerhays"
"130","Scott Stallings","USA","0","1","4","253","http://www.cbssports.com/golf/players/playerpage/1229764/scott-stallings"
"131","Robert Garrigus","USA","0","0","3","241","http://www.cbssports.com/golf/players/playerpage/460197/robert-garrigus"
"132","Matt Jones","AUS","0","0","5","241","http://www.cbssports.com/golf/players/playerpage/466923/matt-jones"
"133","Harold Varner III","USA","0","0","4","237","http://www.cbssports.com/golf/players/playerpage/2117954/harold-varner-iii"
"134","J.J. Henry","USA","0","1","5","237","http://www.cbssports.com/golf/players/playerpage/149569/jj-henry"
"135","Smylie Kaufman","USA","0","1","2","236","http://www.cbssports.com/golf/players/playerpage/2133371/smylie-kaufman"
"136","Brandon Hagy","USA","0","0","3","231","http://www.cbssports.com/golf/players/playerpage/2155896/brandon-hagy"
"137","Robert Streb","USA","0","1","3","231","http://www.cbssports.com/golf/players/playerpage/1758933/robert-streb"
"138","Troy Merritt","USA","0","1","5","224","http://www.cbssports.com/golf/players/playerpage/1639167/troy-merritt"
"139","Soren Kjeldsen","DEN","0","1","2","219","http://www.cbssports.com/golf/players/playerpage/401320/soren-kjeldsen"
"140","Jim Furyk","USA","0","1","2","218","http://www.cbssports.com/golf/players/playerpage/132018/jim-furyk"
"141","Sam Saunders","USA","0","1","4","214","http://www.cbssports.com/golf/players/playerpage/1098589/sam-saunders"
"142","Seamus Power","IRE","0","0","1","201","http://www.cbssports.com/golf/players/playerpage/1195786/seamus-power"
"143","Ricky Barnes","USA","0","0","4","201","http://www.cbssports.com/golf/players/playerpage/399349/ricky-barnes"
"144","Cameron Percy","AUS","0","1","4","200","http://www.cbssports.com/golf/players/playerpage/401337/cameron-percy"
"145","Ben Crane","USA","0","1","3","197","http://www.cbssports.com/golf/players/playerpage/238111/ben-crane"
"146","Kyle Reifers","USA","0","0","2","187","http://www.cbssports.com/golf/players/playerpage/1112793/kyle-reifers"
"147","Martin Flores","USA","0","1","3","183","http://www.cbssports.com/golf/players/playerpage/564225/martin-flores"
"148","Spencer Levin","USA","0","1","2","179","http://www.cbssports.com/golf/players/playerpage/468347/spencer-levin"
"149","Greg Owen","ENG","0","1","2","179","http://www.cbssports.com/golf/players/playerpage/401336/greg-owen"
"150","Jonathan Randolph","USA","0","1","2","177","http://www.cbssports.com/golf/players/playerpage/1995594/jonathan-randolph"
"151","Tim Wilkinson","NZL","0","0","4","177","http://www.cbssports.com/golf/players/playerpage/477023/tim-wilkinson"
"152","Julian Etulain","ARG","0","1","3","175","http://www.cbssports.com/golf/players/playerpage/1738270/julian-etulain"
"153","Alex Cejka","GER","0","0","2","169","http://www.cbssports.com/golf/players/playerpage/399374/alex-cejka"
"154","Fabian Gomez","ARG","0","0","3","168","http://www.cbssports.com/golf/players/playerpage/569990/fabian-gomez"
"155","Boo Weekley","USA","0","1","1","164","http://www.cbssports.com/golf/players/playerpage/285351/boo-weekley"
"156","Retief Goosen","SAF","0","1","2","161","http://www.cbssports.com/golf/players/playerpage/238071/retief-goosen"
"157","Ryan Brehm","USA","0","0","1","160","http://www.cbssports.com/golf/players/playerpage/557217/ryan-brehm"
"158","Chris Stroud","USA","0","1","3","157","http://www.cbssports.com/golf/players/playerpage/521003/chris-stroud"
"159","Richy Werenski","USA","0","1","2","155","http://www.cbssports.com/golf/players/playerpage/2237947/richy-werenski"
"160","John Peterson","USA","0","0","3","153","http://www.cbssports.com/golf/players/playerpage/1848129/john-peterson"
"161","Andres Gonzales","USA","0","0","1","146","http://www.cbssports.com/golf/players/playerpage/1125396/andres-gonzales"
"162","Ryo Ishikawa","JPN","0","1","2","137","http://www.cbssports.com/golf/players/playerpage/1223768/ryo-ishikawa"
"163","Chad Collins","USA","0","1","1","132","http://www.cbssports.com/golf/players/playerpage/461502/chad-collins"
"164","Joel Dahmen","USA","0","1","2","130","http://www.cbssports.com/golf/players/playerpage/1995527/joel-dahmen"
"165","Will MacKenzie","USA","0","0","2","127","http://www.cbssports.com/golf/players/playerpage/468816/will-mackenzie"
"166","Shawn Stefani","USA","0","1","1","125","http://www.cbssports.com/golf/players/playerpage/1681025/shawn-stefani"
